origen,producto,category
Nacional,Mojarra blanca,filetes
Nacional,Robalo,filetes
Importación,Abulón,moluscos
Nacional,Caracol,moluscos
Nacional,Pulpo fresco,moluscos
Colima,Camarones 51/60,crustaceos
No especificado,Jaiba entera,crustaceos
Yucatán,Rubia o Biajaiba,crustaceos
Yucatán,Rubia o Biajaiba,moluscos
Campeche,Pulpo fresco,filetes
Nayarit,Trucha marina,pescado
Sonora,Lisa del Golfo,pescado
Jalisco,Cola de langosta,crustaceos
Nayarit,Sargo,pescado
Nayarit,Bacalao,pescado
Chiapas,Camarones U15,crustaceos
Nayarit,Camarón chico s/cabeza,crustaceos
Chiapas,Camarones 16/20,crustaceos
Chiapas,Camarones 31/35,crustaceos
Chiapas,Camarones 41/50,crustaceos
Nayarit,Pargo Huachinango,pescado
Nacional,Camarón mediano s/cabeza,crustaceos
Nacional,Camarones 16/20,crustaceos
Nacional,Camarones 21/25,crustaceos
Nacional,Camarones 26/30,crustaceos
Nacional,Camarones 31/35,crustaceos
Nacional,Camarones 41/50,crustaceos
No especificado,Rubia o Biajaiba,pescado
Nacional,Sardina,pescado
Baja California Sur,Torito,pescado
Colima,Curbina,pescado
Baja California Sur,Bacalao,pescado
Jalisco,Calamar americano,moluscos
Baja California Sur,Abadejo,filetes
Nayarit,Cola de langosta,crustaceos
Nacional,Calamar americano,moluscos
Guanajuato,Bacalao,pescado
Origen,Producto,category
