origen,producto,category
Baja California,Lisa macho,pescado
Baja California,Pierna,pescado
Baja California Sur,Pargo rojo,pescado
Sinaloa,Camarones botalon,crustaceos
Nayarit,Camarón grande c/cabeza,crustaceos
Nayarit,Camarón grande s/cabeza,crustaceos
Tabasco,Jaiba en pulpa,crustaceos
Importación,Camarón mediano s/cabeza,crustaceos
Nayarit,Camarón Pacotilla,crustaceos
Yucatán,Jaiba en pulpa,crustaceos
Tamaulipas,Camarones 16/20,crustaceos
Tamaulipas,Camarones 21/25,crustaceos
Tamaulipas,Camarones U15,crustaceos
Tamaulipas,Camaron p/bar y bot,crustaceos
Sinaloa,Camarones 16/20,crustaceos
Sinaloa,Camarones 21/25,crustaceos
Sinaloa,Camarones 26/30,crustaceos
Sinaloa,Camarones 31/35,crustaceos
Sinaloa,Camarones 41/50,crustaceos
Sinaloa,Camarones U10,crustaceos
Sinaloa,Camarones U12,crustaceos
Sinaloa,Camarones U15,crustaceos
Sonora,Camarón coctel,crustaceos
Tamaulipas,Camarones U10,crustaceos
Tamaulipas,Camarones 26/30,crustaceos
Tamaulipas,Camarones 31/35,crustaceos
Tamaulipas,Camarones U12,crustaceos
Baja California,Langosta,crustaceos
Tabasco,Camarón mediano c/cabeza,crustaceos
Chiapas,Camarón mediano s/cabeza,crustaceos
Sinaloa,Camarón s/cabeza coctelero de mar,crustaceos
Sinaloa,Camarón grande c/cabeza,crustaceos
Tamaulipas,Ostión con concha,moluscos
Veracruz,Abadejo,pescado
Veracruz,Bacalao,pescado
Veracruz,Cojinuda,pescado
Veracruz,Lenguado grande,pescado
Veracruz,Peto o Carito,pescado
Veracruz,Tiburon c/cabeza,pescado
Veracruz,Mantarraya,pescado
Veracruz,Cazón sin cabeza,pescado
Veracruz,Tiburón sin cabeza,pescado
Baja California Sur,Cabrillo,pescado
Baja California Sur,Cochito o Cochino,pescado
Baja California Sur,Lenguado grande,pescado
Baja California Sur,Tiburon c/cabeza,pescado
Baja California,Cazón sin cabeza,pescado
Baja California,Mero,pescado
Baja California,Pargo Habanero,pescado
Veracruz,Bonito,pescado
Veracruz,Cherna aleta amarilla,pescado
Veracruz,Chucumite,pescado
Veracruz,Gurrubata,pescado
Veracruz,Medregal,pescado
Michoacán,Lisa del Golfo,pescado
Nayarit,Bacoca,pescado
Nayarit,Constantino,pescado
Nayarit,Curbina,pescado
Nayarit,Mojarra plateada,pescado
Nayarit,Pampano,pescado
Nayarit,Pargo,pescado
Nayarit,Robalo del pacífico,pescado
Nayarit,Sierra del Pacífico,pescado
Nayarit,Aleta de raya,pescado
Nayarit,Chano,pescado
Nayarit,Mojarra Marina,pescado
Nayarit,Torito,pescado
Campeche,Atún,pescado
Tamaulipas,Abadejo,pescado
Tamaulipas,Angelito,pescado
Tamaulipas,Bacalao,pescado
Tamaulipas,Bonito,pescado
Tamaulipas,Cojinuda,pescado
Tamaulipas,Chopa,pescado
Tamaulipas,Lebrancha,pescado
Tamaulipas,Medregal,pescado
Tamaulipas,Negrillo,pescado
Tamaulipas,Pampano,pescado
Tamaulipas,Pargo,pescado
Tamaulipas,Ratón,pescado
Tamaulipas,Sierra del Golfo,pescado
Yucatán,Besugo,pescado
Sinaloa,Besugo,pescado
Tamaulipas,Huachinango grande,pescado
Tamaulipas,Pargo rojo,pescado
Tamaulipas,Tiburon c/cabeza,pescado
Veracruz,Chopa,pescado
Veracruz,Sargo,pescado
Veracruz,Aleta de raya,pescado
Veracruz,Conejo,pescado
Veracruz,Negrillo,pescado
Veracruz,Lenguado chico,pescado
Veracruz,Mojarra blanca,pescado
Veracruz,Tiburón Majarro sin cabeza,pescado
Veracruz,Tolete,pescado
Veracruz,Tenazas de cangrejo,crustaceos
Baja California Sur,Camarón grande c/cabeza,crustaceos
Tamaulipas,Acamaya cruda,crustaceos
Veracruz,Acamaya cruda,crustaceos
Nayarit,Ostión con concha,moluscos
Baja California Sur,Lenguado,filetes
Baja California Sur,Curbina,filetes
Tamaulipas,Filete de carpa,filetes
Tamaulipas,Filete de huachinango,filetes
Veracruz,Chopa,filetes
Importación,Jurel,pescado
Sinaloa,Rubia o Biajaiba,pescado
Importación,Sargo,pescado
Sonora,Huachinango Pacífico,pescado
Tamaulipas,Lenguado chico,pescado
Tamaulipas,Lenguado grande,pescado
Oaxaca,Tiburon c/cabeza,pescado
Chiapas,Robalo del pacífico,pescado
Baja California Sur,Baqueta,pescado
Sinaloa,Curbina,pescado
Sonora,Cintilla,pescado
Sinaloa,Lenguado chico,pescado
Sinaloa,Mantarraya,pescado
Sinaloa,Pargo rojo,pescado
Baja California Sur,Pampano,pescado
Sinaloa,Pargo blanco,pescado
Baja California Sur,Rubia o Biajaiba,pescado
Nayarit,Huachinango grande,pescado
Baja California Sur,Mojarra plateada,pescado
Tamaulipas,Cazón sin cabeza,pescado
Sinaloa,Baqueta,pescado
Tamaulipas,Camarones botalon,crustaceos
Tamaulipas,Camarones 41/50,crustaceos
Oaxaca,Camarón grande c/cabeza,crustaceos
Chiapas,Camarón c/cabeza mediana,crustaceos
